Title_1,Title_2,Part_1,Part_2,Model_1,Desc_1,Price
"KL.0C741.LT1 Acer Chromebook 511 C741LT-IPS 11.6"" HD LCD LED Screen Panel",,KL.0C741.LT1,,,,
"KL.0C741.LSV Acer Chromebook 511 C741L Non-Touch 11.6"" HD 30pins LCD LED Screen",,KL.0C741.LSV,,,,
"5D11B39776 14.0"" FHD B140HAK03.2 N140HCN-EA1 for Lenovo Chromebook 14 14e 2nd Gen (Touch)",,,,Lenovo Chromebook 14 14e 2nd Gen (Touch),,
"New B156HAK02.1 15.6"" FHD LCD Touch Screen Slim eDP 40pin Narrow No Brackets IPS Glossy",,,,General Screen,,
"C8TCK 0C8TCK Dell OEM Latitude 14 3410 14.0"" FHD Matte Laptop Replacement LCD Screen",,,,Dell OEM Latitude 14 3410,,
"5D11A22515 LCD Touch Screen 13.3"" 1920×1200 Narrow R133NW4K R0 for Lenovo ThinkPad L13 Gen 3",,,,Lenovo ThinkPad L13 Gen 3,,
"5D10Z77954 Lenovo Chromebook 100E 2ND GEN MTK 2 82Q3 11.6"" HD LCD Screen Replacement Display",,,,Lenovo Chromebook 100E 2ND GEN MTK 2 82Q3,,
X934552-019 28.2 inch LCD Touch Screen LTM282RL01 4K 4096×2160 SAMSUNG Touch Glass Screen Display,,,,,,
"X3KG3 Dell Chromebook/Latitude 14 3400 EDP 14"" FHD LCD Widescreen Matte Screen Panel",,,,Dell Chromebook/Latitude 14 3400,,
"L46551-001 HP Chromebook 14A G5 Display Panel 14.0"" HD Replacement Screen Display",,,,HP Chromebook 14A G5,,
"YTXJK NT133WHM-N61 for Dell Latitude 5300/7300 13.3"" HD LCD Screen Widescreen Matte Panel",,,,Dell Latitude 5300/7300,,
"Asus Chromebook CX3401 CX3401F Flip 14.0"" 1920*1200 Complete LCD Touch Screen Assembly",,,,Asus Chromebook CX3401 CX3401F Flip,,
