UID,Status,Group,Title,Price,Qty,Title_Issue
435941,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus Pro15 2022 K3502Z K6500Z M3502R AMOLED 15.6"" QHD 2880x1620 EDP 40 Pin 120Hz Screen ATNA56AC01 Replacement Screen Display",360,,"For Asus Pro15 2022 K3502Z K6500Z M3502R AM-OLED 15.6"" QHD 2880x1620 EDP 40pins 120Hz  Screen ATNA56AC01 Replacement Screen Display"
435943,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus Vivobook 15 K513EQ AMOLED 15.6"" DCI-P3 FHD 1920x1080 IPS EDP 30 Pin ATNA56YX03 Replacement Screen Display",268,,"For Asus Vivobook 15 K513EQ AM-OLED 15.6"" DCI-P3 FHD 1920*1080 IPS EDP 30Pins ATNA56YX03 Replacement Screen Display"
435945,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo ThinkPad X1 AMOLED 14"" 2880 1800 OLED IPS ATNA40YK20 Replacement Screen Display",265,,"For Lenovo ThinkPad X1 AM-OLED 14"" 2880×1800 OLED IPS  ATNA40YK20 Replacement Screen Display"
435947,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus Zenbook 14 UM3402 UX3402 AMOLED 14"" 2880 1800 ATNA40YK04 Replacement Screen Display",255,,"For Asus Zenbook 14 UM3402 UX3402 AM-OLED 14"" 2880×1800 ATNA40YK04 Replacement Screen Display"
435949,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus UM3402YA Q409ZA-EVO.I5256BL AMOLED 14"" 2880 1800 AMOLED 1.07B eDP 40 Pin ATNA40YK07 Replacement Screen Display",255,,"For Asus UM3402YA; Q409ZA-EVO.I5256BL AM-OLED 14"" 2880×1800 AM-OLED 1.07B eDP 40pins  ATNA40YK07 Replacement Screen Display"
435951,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","ASUS ZenBook 14X UX5400 AMOLED 14"" 3840 2160 40 Pin Touch ATNA40YN04 Replacement Screen Display",265,,"For ASUS ZenBook 14X UX5400 AM-OLED 14"" 3840×2160 40 Pins  with touch  ATNA40YN04 Replacement Screen Display"
435953,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus Zenbook 14 M3400 M3400QA AMOLED 14"" 2880 1800 ATNA40YK09 Replacement Screen Display",255,,"For Asus Zenbook 14 M3400 M3400QA AM-OLED 14"" 2880×1800 ATNA40YK09 Replacement Screen Display"
435955,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo Yoga 7 14ARB7 AMOLED 14"" 2880x1800 40 Pin 90Hz 5D10S39868 5D10S39870 ATNA40YK08 Replacement Screen Display",265,,"For Lenovo Yoga 7 14ARB7 AM-OLED 14"" 2880x1800 40Pins 90Hz  5D10S39868  5D10S39870 ATNA40YK08 Replacement Screen Display"
435957,New,"(#2713) ","Lenovo Thinkpad x1 carbon 10th AMOLED 14"" 2880X1800 Slim 40 Pin Glossy 5D11B36616 ATNA40YK01 Replacement Screen Display",265,,"For Lenovo Thinkpad x1 carbon 10th AM-OLED 14"" 2880*1800 Slim 40Pin Glossy  5D11B36616  ATNA40YK01 Replacement Screen Display"
435959,New,"(#2713) Work Later","Lenovo ThinkPad X1 Carbon gen10/11 23year AMOLED 14"" 2880x1800 Slim 40 Pin Glossy 90Hz Non Touch ATNA40YK15 Replacement Screen Display",265,,"For Lenovo ThinkPad X1 Carbon gen10/11 23year AM-OLED 14"" 2880x1800 Slim 40Pin Glossy 90Hz Non-Touch ATNA40YK15 Replacement Screen Display"
435961,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus Zenbook 14 M3400 M3400QA ACER GO14 AMOLED 14"" 2880 1800 90Hz IPS ATNA40YK11 Replacement Screen Display",265,,"For Asus Zenbook 14 M3400 M3400QA;ACER GO14 AM-OLED 14"" 2880×1800 90Hz IPS ATNA40YK11 Replacement Screen Display"
435963,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo T14S Gen 3 AMOLED 14"" 2880 1800 90Hz IPS 5D11B36616 ATNA40YK05 Replacement Screen Display",265,,"For Lenovo T14S GEN3  AM-OLED 14"" 2880×1800 90Hz IPS 5D11B36616 ATNA40YK05 Replacement Screen Display"
435965,New,"(#2713) Work Later","Lenovo Yoga Slim 6 14IAP8 AMOLED 14"" 1920x1200 60Hz 30 Pin FHD+ 5D11K06153 ATNA40CT01 Replacement Screen Display",265,,"For Lenovo Yoga Slim 6 14IAP8 AM-OLED 14"" 1920x1200 60Hz 30Pins FHD+  5D11K06153 ATNA40CT01 Replacement Screen Display"
435967,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Samsung Galaxy Book Flex NP950XDB-KC5US AMOLED 1920x1200 60Hz BA59-04568A ATNA56YX02 Replacement Screen Display",280,,"For Samsung Galaxy Book Flex NP950XDB-KC5US AM-OLED 1920x1200 60Hz BA59-04568A  ATNA56YX02 Replacement Screen Display"
