UID,Status,Group,Title,Price,Qty,Title_Issue
436005,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","KL.0C741.LT1 Acer Chromebook 511 C741LT-IPS 11.6"" HD LCD LED Screen Panel",,,
436007,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","KL.0C741.LSV Acer Chromebook 511 C741L Non Touch 11.6"" HD 30 Pin LCD LED Screen",,,"KL.0C741.LSV Acer Chromebook 511 C741L Non-Touch 11.6"" HD 30pins LCD LED Screen"
436009,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","5D11B39776 14.0"" FHD B140HAK03.2 N140HCN-EA1 Lenovo Chromebook 14 14e 2nd Gen Touch",,,"5D11B39776 14.0"" FHD B140HAK03.2 N140HCN-EA1 for Lenovo Chromebook 14 14e 2nd Gen (Touch)"
436011,New,"(#2713) ","New B156HAK02.1 15.6"" FHD LCD Touch Screen Slim eDP 40 Pin Narrow No Brackets IPS Glossy",,,"New B156HAK02.1 15.6"" FHD LCD Touch Screen Slim eDP 40pin Narrow No Brackets IPS Glossy"
436013,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","C8TCK 0C8TCK Dell OEM Latitude 14 3410 14.0"" FHD Matte Laptop Replacement LCD Screen",,,
436015,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","5D11A22515 LCD Touch Screen 13.3"" 1920 1200 Narrow R133NW4K R0 Lenovo ThinkPad L13 Gen 3",,,"5D11A22515 LCD Touch Screen 13.3"" 1920×1200 Narrow R133NW4K R0 for Lenovo ThinkPad L13 Gen 3"
436017,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","5D10Z77954 Lenovo Chromebook 100E 2ND GEN MTK 2 82Q3 11.6"" HD LCD Screen Replacement Display",,,
436019,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","X934552-019 28.2"" inch LCD Touch Screen LTM282RL01 4K 4096 2160 SAMSUNG Glass Screen Display",,,"X934552-019 28.2 inch LCD Touch Screen LTM282RL01 4K 4096×2160 SAMSUNG Touch Glass Screen Display"
436021,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","X3KG3 Dell Chromebook/Latitude 14 3400 EDP 14"" FHD LCD Widescreen Matte Screen Panel",,,
436023,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","L46551-001 HP Chromebook 14A G5 Display Panel 14.0"" HD Replacement Screen",,,"L46551-001 HP Chromebook 14A G5 Display Panel 14.0"" HD Replacement Screen Display"
436025,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","YTXJK NT133WHM-N61 Dell Latitude 5300/7300 13.3"" HD LCD Screen Widescreen Matte Panel",,,"YTXJK NT133WHM-N61 for Dell Latitude 5300/7300 13.3"" HD LCD Screen Widescreen Matte Panel"
436027,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus Chromebook CX3401 CX3401F Flip 14.0"" 1920x1200 Complete LCD Touch Screen Assembly",,,"Asus Chromebook CX3401 CX3401F Flip 14.0"" 1920*1200 Complete LCD Touch Screen Assembly"
436029,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","B133ZAT02.0 B133HAT03.0 Google Pixelbook Go 13.3"" FHD LCD Touch Screen Chromebook Replacement Panel",,,
