UID,Status,Group,Title,Price,Qty,Title_Issue
438566,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C721-61PJ Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 C721-61PJ Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor"
,"Dup title",,"Acer 11 C721-61PJ Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Line 1"
438567,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer R753TN 11"" LCD Touch Screen Module Stylus Replacement Laptop LCD LED Screen Display Monitor",103.99,,"Acer R753TN 11-inch LCD Touchscreen Module (Stylus Compatible) Replacement Laptop LCD LED Screen Display Monitor"
438568,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer 12 C871T Chromebook Touch LCD Panel Replacement Laptop LCD LED Screen Display Monitor",149.99,,
438569,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer 13 CP713-3W Chromebook LCD Touch Screen Digitizer Module Replacement Laptop LCD LED Screen Display Monitor",224.99,,"Acer 13 CP713-3W Chromebook LCD Touchscreen Digitizer Module Replacement Laptop LCD LED Screen Display Monitor"
438570,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer 14 CB314-1HT Chromebook LCD Touch Panel NEW Replacement Laptop LCD LED Screen Display Monitor",169.99,,"Acer 14 CB314-1HT Chromebook LCD Touch Panel - NEW Replacement Laptop LCD LED Screen Display Monitor"
438571,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer 311 R722T-K95L Chromebook LCD Touch Screen Module Replacement Laptop LCD LED Screen Display Monitor",100.99,,"Acer 11 311 R722T-K95L Chromebook LCD Touchscreen Module Replacement Laptop LCD LED Screen Display Monitor"
438572,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C732T Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor",112.99,,"Acer 11 C732T Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor"
438573,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer 14 C933T Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor",110.99,,
438574,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer R753T 11"" LCD Touch Screen 40 Pin Replacement Laptop LCD LED Screen Display Monitor",103.99,,"Acer R753T 11-inch LCD Touchscreen (40-pin) Replacement Laptop LCD LED Screen Display Monitor"
438575,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer 311 C733T Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor",112.99,,"Acer 11 311 C733T Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor"
438576,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer R753T 11"" LCD Touch Screen 30 Pin Replacement Laptop LCD LED Screen Display Monitor",97.99,,"Acer R753T 11-inch LCD Touchscreen (30-pin) Replacement Laptop LCD LED Screen Display Monitor"
438577,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer R752T-C2YP Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",169.99,,"Acer 11 R752T-C2YP Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor"
,"Dup title",,"Acer R753T 11-inch LCD Touchscreen (30-pin) Replacement Laptop LCD LED Screen Display Monitor",97.99,,"Line 12"
438578,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer 13 CB5-312T Chromebook LCD Touch Screen Digitizer Module Replacement Laptop LCD LED Screen Display Monitor",214.99,,"Acer 13 CB5-312T Chromebook LCD Touchscreen Digitizer Module Replacement Laptop LCD LED Screen Display Monitor"
438579,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C730E Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 C730E Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor"
438580,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C731T Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor",84.99,,"Acer 11 C731T Chromebook LCD Touch Panel Replacement Laptop LCD LED Screen Display Monitor"
438581,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C731 Chromebook LCD Panel Replacement Laptop LCD LED Screen Display Monitor",50,,"Acer 11 C731 Chromebook LCD Panel - GRADE A Replacement Laptop LCD LED Screen Display Monitor"
438582,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Acer C740 Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",89.99,,"Acer 11 C740 Chromebook LCD Assembly Replacement Laptop LCD LED Screen Display Monitor"
