Title_1,Title_2,Part_1,Part_2,Part_3,Model_1,Desc_1,Model_2,Price
Lenovo 04W4006 TN display HD (1366x768) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,04W4006,04W4006,,"Acer TravelMate P2 (P243-M) , Acer Aspire E1-471G , Asus N82EI , Asus X450EA , Asus A42JV , Asus N43SN , HP ProBook 6450b , HP ProBook 6440b , Acer Aspire 4743G , Acer Aspire 4743Z",,,52.43
Lenovo 01AV671 IPS display FHD (1920x1080) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,01AV671,01AV671,,"Lenovo ThinkPad 13 (20GJ) , Asus X302LA , Acer TravelMate P2 (P236-M) , Lenovo IdeaPad 500S-13ISK (80Q2) , Asus ZenBook UX303LA , Asus ZenBook UX303UA , Asus ZenBook UX303UB , Asus X302UA , Asus R301UA , Asus X302UJ",,,95.23
HP L51624-J32 IPS display FHD (1920x1080) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,L51624-J32,L51624-J32,,"Asus ZenBook UX303LB , Asus Transformer Book Flip TP300UA , Asus ZenBook UX303UA , Asus ZenBook UX303UB , Asus X302UA , Asus R301UA , Asus X302UJ , Asus Chromebook C300SA , Asus X302UV , Asus R301UV",,,105.93
BOE NT156FHM-N62 V8.0 IPS display FHD (1920x1080) matt 60Hz,Replacement Laptop LCD LED Screen Display Monitor,NT156FHM-N62 V8.0,40067742 24GYY CP793107-51 CP793107-XX CP7VM 6N3YH,,"Lenovo V15-IKB (81YD) , Lenovo IdeaPad Creator 5-15IMH05 (82D4) , Asus ROG Zephyrus G GA502DU , Asus VivoBook 15 X509JA , Asus VivoBook 15 D509DA , Acer Extensa (EX215-52) , Asus VivoBook 15 X509FA , Lenovo IdeaPad 3-15IGL05 (81WQ) , Asus TUF FX571GT , Lenovo ThinkBook 15 G3 ITL (21A5)",,,82.39
Fujitsu CP802759-51 IPS display FHD (1920x1080) matt 60Hz length 315mm; width 19.5mm incl. board; Thickness 2.77mm,Replacement Laptop LCD LED Screen Display Monitor,CP802759-51,CP802759-51,,"Lenovo ThinkPad T490 (20Q9/20QH) , HP ProBook 440 G6 , HP Pavilion 14-ce0100 , HP EliteBook 840 G5 , HP 14-ck0000 , HP 14-ma1000 , HP 246 G7 , HP ProBook 440 G4 , HP Stream 14 Pro G3 , HP 248 G1",,,95.23
AU Optronics B140HAN04.0 7A IPS display FHD (1920x1080) matt 60Hz length 315mm; width 19.5mm incl. board; Thickness 2.77mm,Replacement Laptop LCD LED Screen Display Monitor,B140HAN04.0 7A,B140HAN04.0 H/W:7A,,"Lenovo ThinkPad T490 (20Q9/20QH) , HP ProBook 440 G6 , HP Pavilion 14-ce0100 , HP EliteBook 840 G5 , HP 14-ck0000 , HP 14-ma1000 , HP 246 G7 , HP ProBook 440 G4 , HP Stream 14 Pro G3 , HP 248 G1",,,95.23
AU Optronics B140HAN04.0 H/W:7A IPS display FHD (1920x1080) matt 60Hz length 315mm; width 19.5mm incl. board; Thickness 2.77mm,Replacement Laptop LCD LED Screen Display Monitor,B140HAN04.0 H/W:7A,B140HAN04.0 7A,,"Lenovo ThinkPad T495 (20NJ/20NK) , Lenovo ThinkPad T14 Gen 1 (20UD/20UE) , Fujitsu LifeBook U7411 , HP 14-dk1000 , HP 14t-dq100 CTO , HP 14-dk0000 , HP 14-cf0000 , HP Pavilion 14-bk000 , HP Envy 14t-j000 , HP ProBook 440 G2",,,95.23
Lenovo SD10Q66955 IPS display FHD (1920x1080) matt 60Hz length 315mm; width 19.5mm incl. board; Thickness 2.77mm,Replacement Laptop LCD LED Screen Display Monitor,SD10Q66955,DZ1402,,"Lenovo ThinkPad L14 Gen 2 (20X1/20X2) , Lenovo ThinkPad X1 Carbon 7th Gen (20R1/20R2) , HP 14s-dq1000 , HP Pavilion 14-ce0400 , HP Pavilion 14-al000 , HP Pavilion 14-n200 , HP EliteBook 840 G3 , HP EliteBook 8470p , Lenovo ThinkPad T14 Gen 2 (20W0/20W1) , Lenovo ThinkPad L14 Gen 2 (20X1/20X2)",,,95.23
Asus 18010-17340200 IPS display FHD (1920x1080) matt 360Hz,Replacement Laptop LCD LED Screen Display Monitor,18010-17340200,18010-17340200,,"Asus ROG Strix G17 G713RM , Asus ROG Strix Scar 17 SE G733CX , Asus G733ZM , Asus TUF Gaming A17 FA707XU , Asus ROG Strix G17 G713QR , Asus ROG Strix G17 G713RS , Asus ROG Strix Scar 17 G733ZM , Asus ROG Strix Scar 17 G733ZS , Asus ROG Strix Scar 17 G733ZW , Asus ROG Strix Scar 17 G733ZX",,,294.25
Toshiba V000220340 TN display HD (1366x768) glossy 60Hz,Replacement Laptop LCD LED Screen Display Monitor,V000220340,V000244410 V000212220 V000212280 V000212440 V000220910,,"Acer Aspire 5560 , Acer Extensa 5635G , Acer Aspire 5742Z , Acer Aspire 5253 , Acer Aspire 5742ZG , Acer Aspire 5733 , Acer TravelMate 5742Z , Acer Aspire 5479Z , Acer TravelMate 5735ZG , Acer TravelMate P2 (P253-E)",,,60.99
