UID,Status,Group,Title,Price,Qty,Title_Issue
425884,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo 04W4006 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",52.43,,"Lenovo 04W4006 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425889,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo 01AV671 IPS display FHD 1920x1080 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",95.23,,"Lenovo 01AV671 IPS display FHD (1920x1080) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425890,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP L51624-J32 IPS display FHD 1920x1080 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",105.93,,"HP L51624-J32 IPS display FHD (1920x1080) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425891,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","BOE NT156FHM-N62 V8.0 IPS display FHD 1920x1080 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",82.39,,"BOE NT156FHM-N62 V8.0 IPS display FHD (1920x1080) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425892,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Fujitsu CP802759-51 IPS display FHD 1920x1080 Matte 60Hz length 315mm width 19.5mm Included board Thickness 2.77mm Replacement Laptop LCD LED Screen Monitor",95.23,,"Fujitsu CP802759-51 IPS display FHD (1920x1080) matt 60Hz length 315mm; width 19.5mm incl. board; Thickness 2.77mm Replacement Laptop LCD LED Screen Display Monitor"
425893,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","AU Optronics B140HAN04.0 7A IPS display FHD 1920x1080 Matte 60Hz length 315mm width 19.5mm Included board Thickness 2.77mm Replacement Laptop LCD LED Screen Monitor",95.23,,"AU Optronics B140HAN04.0 7A IPS display FHD (1920x1080) matt 60Hz length 315mm; width 19.5mm incl. board; Thickness 2.77mm Replacement Laptop LCD LED Screen Display Monitor"
425894,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","AU Optronics B140HAN04.0 H/W:7A IPS display FHD 1920x1080 Matte 60Hz length 315mm width 19.5mm Included board Thickness 2.77mm Replacement Laptop LCD LED Screen Monitor",95.23,,"AU Optronics B140HAN04.0 H/W:7A IPS display FHD (1920x1080) matt 60Hz length 315mm; width 19.5mm incl. board; Thickness 2.77mm Replacement Laptop LCD LED Screen Display Monitor"
425895,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo SD10Q66955 IPS display FHD 1920x1080 Matte 60Hz length 315mm width 19.5mm Included board Thickness 2.77mm Replacement Laptop LCD LED Screen Monitor",95.23,,"Lenovo SD10Q66955 IPS display FHD (1920x1080) matt 60Hz length 315mm; width 19.5mm incl. board; Thickness 2.77mm Replacement Laptop LCD LED Screen Display Monitor"
425896,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus 18010-17340200 IPS display FHD 1920x1080 Matte 360Hz Replacement Laptop LCD LED Screen Monitor",294.25,,"Asus 18010-17340200 IPS display FHD (1920x1080) matt 360Hz Replacement Laptop LCD LED Screen Display Monitor"
425897,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Toshiba V000220340 TN display HD 1366x768 glossy 60Hz Replacement Laptop LCD LED Screen Monitor",60.99,,"Toshiba V000220340 TN display HD (1366x768) glossy 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425898,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Fujitsu CP565226-XX TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",73.83,,"Fujitsu CP565226-XX TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425899,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Toshiba P000609010 TN display HD 1366x768 glossy 60Hz Replacement Laptop LCD LED Screen Monitor",72.76,,"Toshiba P000609010 TN display HD (1366x768) glossy 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425900,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Samsung LJ96-05574B TN display FHD 1920x1080 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",84.53,,"Samsung LJ96-05574B TN display FHD (1920x1080) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425901,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Dell 0D3MR5 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",52.43,,"Dell 0D3MR5 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425902,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Innolux N140BGE-L21 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",52.43,,"Innolux N140BGE-L21 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425903,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo 5D10H56752 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",52.43,,"Lenovo 5D10H56752 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425904,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus 18010-14010100 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",52.43,,"Asus 18010-14010100 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425905,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Asus 18G241400042Q TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",52.43,,"Asus 18G241400042Q TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425906,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Lenovo 27R2465 TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",52.43,,"Lenovo 27R2465 TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425907,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Fujitsu FUJ:CP574964-xx TN display HD 1366x768 Matte 60Hz Replacement Laptop LCD LED Screen Monitor",52.43,,"Fujitsu FUJ:CP574964-xx TN display HD (1366x768) matt 60Hz Replacement Laptop LCD LED Screen Display Monitor"
425908,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Samsung LJ96-06387B TN display HD 1366x768 glossy 60Hz Replacement Laptop LCD LED Screen Monitor",73.83,,"Samsung LJ96-06387B TN display HD (1366x768) glossy 60Hz Replacement Laptop LCD LED Screen Display Monitor"
