sku,uid,gid,group,active,siteid,title,url,presence,locked,deleted,price,shipping,qty,shp,rtn,pmt,tag,note_memo,note_desc,note_part,note_model,note_verification,uid_dup,sold,sold_uid_ts,online_created,online_removed,birthday,by_user
B117823X010D,117823,10,"HP PAVILION X360 TOUCH GLASS 13A GLASS Type 1 TPAY13306S fp-tpay13306s-02x Available ,Type 2 TOP13I45 V0.2 Not available",No,,"HP Pavilion 13-a110dx X360 Touch Glass REPLACEMENT 13.3""",/hp-pavilion-13-a110dx-x360-touch-glass-replacement-13-3-117823/,Yes,No,No,59.99,,10,,,,,,,,,,0,3,11/4/2019 21:34,2/6/2017 4:02,8/8/2024 15:34,2/3/2017 15:03,chanddr
B068192B100Y,68192,100,LP171WU1 use #823,Yes,20731,"Dell Inspiron 9300 REPLACEMENT LAPTOP LCD Screen 17"" WUXGA Single Lamp",https://www.blisscomputers.net/dell-inspiron-9300-replacement-laptop-lcd-screen-17-wuxga-single-lamp-68192/,Yes,No,No,0,,0,,,,,,,,,,0,9,10/7/2016 11:25,2/11/2015 15:02,0000-00-00 00:00:00,0000-00-00 00:00:00,chanddr
B622573AA01Q,622573,1001,LJ97-01015A Inverter For 14.1 Dells,Yes,70025,Dell Vostro 1500 Inverter Board T73I032.00,https://www.blisscomputers.net/dell-vostro-1500-inverter-board-t73i032-00-622573/,Yes,No,No,0,,0,,,,,,,,,,0,4,8/14/2024 19:02,1/2/2019 17:01,0000-00-00 00:00:00,8/9/2018 18:44,system
B782550DA02D,782550,1002,0GF120 Cable,Yes,292052,Dell GF120 CCFL LCD Cable Latitude D830,https://www.blisscomputers.net/dell-gf120-ccfl-lcd-cable-latitude-d830-782550/,Yes,No,No,0,,0,,,,,,,,,,0,5,2/15/2024 21:29,1/4/2019 0:01,0000-00-00 00:00:00,7/26/2018 18:18,system
B622440XA05G,622440,1005,K02I056.00 Thick Small Inverter,Yes,70110,Dell Inspiron 8500 8600 Latitude D800 LCD Screen Display Inverter K02I056.00,https://www.blisscomputers.net/dell-inspiron-8500-8600-latitude-d800-lcd-screen-display-inverter-k02i056-00-622440/,Yes,No,No,0,,0,,,,,,,,,,0,1,12/12/2022 14:04,1/2/2019 17:01,0000-00-00 00:00:00,7/26/2018 18:46,system
B627912HA06C,627912,1006,B173QTN01.4 exact part number only 2560x1440 120Hz 40 Pin Screen,Yes,70134,"17.3"" 3D LED LCD Screen B173QTN01.2 2560X1440 Dell DP/N 0JYWWF 120Hz QHD",https://www.blisscomputers.net/17-3-3d-led-lcd-screen-b173qtn01-2-2560x1440-dell-dp-n-0jywwf-120hz-qhd-627912/,Yes,No,No,0,,0,,,,#ending3letter,,,B173QTN01.4,Dell Alienware 17 R4 R5,,0,10,7/8/2019 17:05,1/2/2019 17:01,0000-00-00 00:00:00,10/29/2018 15:27,system
B665859UA07W,665859,1007,"N125HCE-GN1 01HY619 Lenovo Yoga 260 12.5"" FHD Touch Screen Assembly",Yes,317859,01HY617 01HY915 Lenovo ThinkPad Yoga 260 LCD Touch Screen Bezel FHD,https://www.blisscomputers.net/01hy617-01hy915-lenovo-thinkpad-yoga-260-lcd-touch-screen-bezel-fhd-665859/,Yes,No,No,0,,0,,,,#ending3letter,,,,,,0,35,6/25/2020 15:20,8/23/2019 19:08,0000-00-00 00:00:00,8/23/2019 12:48,chanddr
B631572GA08Y,631572,1008,LP140QH1(SP)(F1) 3K IPS pins Dos Pies For Lenovo **Speical order**,Yes,70170,"Lp140qh1 Spf2 Lp140qh1(sp)(f2) 00ny413 Wqhd 2560x1440 IPS 14.0"" LED LCD Screen",https://www.blisscomputers.net/lp140qh1-spf2-lp140qh1-sp-f2-00ny413-wqhd-2560x1440-ips-14-0-led-lcd-screen-631572/,Yes,No,No,934,,5,,,,,,,Lenovo 00ny406 Lenovo sd10g56715 Lenovo SD10G56672 Lenovo 00NY413 Lenovo 00HN878 LP140QH1(SP)(F2) LP140QH1-SPF2 Lenovo 00ny406 Lenovo sd10g56715 Lenovo SD10K93447,,,0,6,3/15/2024 17:36,1/2/2019 17:01,0000-00-00 00:00:00,12/27/2018 15:26,system
B622544GA09S,622544,1009,K02I107.01 3 Holes Inverter,Yes,70174,"Dell Inspiron E1705 17"" LCD Inverter K02I107.01 IV14135/T",https://www.blisscomputers.net/dell-inspiron-e1705-17-lcd-inverter-k02i107-01-iv14135-t-622544/,Yes,No,No,0,,0,,,,,,,,,,0,2,9/13/2021 21:34,1/2/2019 17:01,0000-00-00 00:00:00,8/9/2018 17:07,system
B024193V101A,24193,101,TWD LP089WS1,Yes,434332,"Lg PHILIPS Lp089ws1(tl)(a1) REPLACEMENT LAPTOP LCD Screen 8.9"" WSVGA LED DIODE LP089WS1-TLA1",https://www.blisscomputers.net/lg-philips-lp089ws1-tl-a1-replacement-laptop-lcd-screen-8-9-wsvga-led-diode-lp089ws1-tla1-24193/,Yes,No,No,0,,0,,,,,,,,,,0,5,10/26/2013 19:46,12/15/2020 21:12,0000-00-00 00:00:00,0000-00-00 00:00:00,chanddr
B622550VA10M,622550,1010,T16I002.00 PWB-IV11145T Inverter,Yes,70180,Dell Laptop LCD Inverter D505 D510 D600 D610 D810 D820,https://www.blisscomputers.net/dell-laptop-lcd-inverter-d505-d510-d600-d610-d810-d820-622550/,Yes,No,No,0,,0,,,,,,,,,,0,3,10/3/2022 1:38,1/2/2019 17:01,0000-00-00 00:00:00,8/9/2018 17:44,system
B622590AA11U,622590,1011,E221447 Inverter nanu choras,Yes,70207,Dell XPS 9100 LCD Screen Video Inverter Board E221447 RDENC2141TPZZ,https://www.blisscomputers.net/dell-xps-9100-lcd-screen-video-inverter-board-e221447-rdenc2141tpzz-622590/,Yes,No,No,0,,0,,,,,,,,,,0,1,4/14/2022 21:09,1/2/2019 17:01,0000-00-00 00:00:00,8/10/2018 17:48,system
B118980FA13F,118980,1013,Narrow 40 Pins NV156FHM-T00 B156HAK02.0 Touch Screen Lenovo ** RAHUL DONT BUY AUO *** Target $40,Yes,53967,"Lenovo Thinkpad T580 REPLACEMENT TABLET LCD Screen 15.6"" Full HD LED DIODE B156HAK02.0",https://www.blisscomputers.net/lenovo-thinkpad-t580-replacement-tablet-lcd-screen-15-6-full-hd-led-diode-b156hak02-0-118980/,Yes,No,No,0,,0,,,,,,,,,,0,8,7/31/2024 11:20,10/2/2018 16:10,0000-00-00 00:00:00,8/20/2018 16:57,chanddr
B118956JA14D,118956,1014,Cardboard Box 20 x 18 x 12,Yes,333782,Moving Boxes Packaging Corrugated 200 lbs Single Wall 20 x 18 x 12,https://www.blisscomputers.net/moving-boxes-packaging-corrugated-200-lbs-single-wall-20-x-18-x-12-118956/,Yes,No,No,1,,0,,,,,Box LG 17.75 x 16.5 x 11.25,,,,,0,1,4/26/2021 5:13,11/27/2019 12:11,0000-00-00 00:00:00,8/14/2018 14:17,system
B211531XA19Q,211531,1019,Bottom Left 144Hz LP173WFG-SPD2 17.3 Screen,Yes,420268,"B173HAN03.2 FHD 1920x1080 Led LCD Screen 17.3"" 144hz 40 Pin",https://www.blisscomputers.net/b173han03-2-fhd-1920x1080-led-lcd-screen-17-3-144hz-40-pin-211531/,Yes,No,No,679.9,,5,,,,,,,AUO329D b173han03.2,Lenovo Legion Y740-17ICH B173HAN03.2 HW1A F/W:1 Asus GL703GS-DS74,,0,6,8/5/2024 12:00,10/4/2020 21:10,2/2/2021 19:51,10/4/2020 17:09,rahul
B064192Z102G,64192,102,LTN156AT01 Lamp Based Screen,Yes,14761,"Lg PHILIPS Lp156wh1(tl)(c1) REPLACEMENT LAPTOP LCD Screen 15.6"" WXGA HD Single Lamp LP156WH1-TLC1",https://www.blisscomputers.net/lg-philips-lp156wh1-tl-c1-replacement-laptop-lcd-screen-15-6-wxga-hd-single-lamp-lp156wh1-tlc1-64192/,Yes,No,No,61.95,,10,,,,,Works for Dell 1545,CT: C0000017WZZYWI 15607C65A3791 52CD LG 60911-08424 100/17 K84 EJB07H5FE84KA0842A4,,,,0,49,7/5/2021 17:46,2/11/2015 11:02,0000-00-00 00:00:00,0000-00-00 00:00:00,chanddr
B665641EA20Y,665641,1020,"5D10P54228 Lenovo Yoga 920-13IKB Flex Pro-13IKB 81TF (ideapad) 13.9""FHD Touch Screen Assembly",Yes,317153,"5D10P54228 Lenovo 13.3"" FHD 30 Pin Touch Screen Assembly 80Y7000WUS 920-13ikb",https://www.blisscomputers.net/5d10p54228-lenovo-13-3-fhd-30-pin-touch-screen-assembly-80y7000wus-920-13ikb-665641/,Yes,No,No,0,,0,,,,#Assembly,,,LENOVO 5D10P54228,Lenovo Flex Pro-13IKB Laptop (ideapad) - Type 81TF,,0,5,7/7/2023 14:34,8/20/2019 7:08,0000-00-00 00:00:00,8/15/2019 17:13,chanddr
B118994JA21D,118994,1021,5386S FPC-1 REV:3 HP M6-N 15-j 15.6 Touch Glass M6N M6N M6N HP buy with bezel ** Special order **,Yes,53978,"HP Pavilion M6-n015dx Touch Glass REPLACEMENT 15.6""",https://www.blisscomputers.net/hp-pavilion-m6-n015dx-touch-glass-replacement-15-6-118994/,Yes,No,No,0,,0,,,,,,,,,,0,1,6/8/2022 15:10,10/2/2018 16:10,0000-00-00 00:00:00,8/23/2018 16:52,chanddr
B623963HA22I,623963,1022,DELL 0NT108 DC02000FC0L Cable,Yes,70309,Dell Latitude D630 D620 LCD Display Screen Video Cable NT108 0NT108,https://www.blisscomputers.net/dell-latitude-d630-d620-lcd-display-screen-video-cable-nt108-0nt108-623963/,Yes,No,No,0,,0,,,,,,,,,,0,3,10/8/2021 19:53,1/2/2019 17:01,0000-00-00 00:00:00,8/25/2018 19:11,system
B623970HA24E,623970,1024,0kC404 Cable,Yes,70314,Dell Latitude D610 LCD Flex Cable KC404 0KC404,https://www.blisscomputers.net/dell-latitude-d610-lcd-flex-cable-kc404-0kc404-623970/,Yes,No,No,0,,0,,,,,,,,,,0,1,10/8/2021 16:03,1/2/2019 17:01,0000-00-00 00:00:00,8/25/2018 19:49,system
B623999TA25Q,623999,1025,029gtw LCD Cable,Yes,70320,"Dell 29GTW Studio 1749 17.3"" Full HD 1080p WLED LCD Ribbon Cable",https://www.blisscomputers.net/dell-29gtw-studio-1749-17-3-full-hd-1080p-wled-lcd-ribbon-cable-new-623999/,Yes,No,No,0,,0,,,,#ending3letter,,,,,,0,1,3/19/2021 18:04,1/2/2019 17:01,0000-00-00 00:00:00,8/27/2018 19:28,system
B624009EA27M,624009,1027,DP8RH Cable,Yes,70330,Dell DP8RH LED LCD Cable W670DI DELH-DP8RH Alienware M15X,https://www.blisscomputers.net/dell-dp8rh-led-lcd-cable-w670di-delh-dp8rh-alienware-m15x-624009/,Yes,No,No,0,,0,,,,,,,,,,0,1,4/17/2021 21:31,1/2/2019 17:01,0000-00-00 00:00:00,8/27/2018 19:54,system
B618901D103U,618901,103,TO BE EOL N089A1-L01 SURPLUS,Yes,57146,"ChiMei HP Mini 2133 8.9"" LCD REPLACEMENT Screen N089A1-L01 Rev.C1",https://www.blisscomputers.net/chimei-hp-mini-2133-8-9-lcd-replacement-screen-n089a1-l01-rev-c1-618901/,Yes,No,No,0,,0,,,,,,,,,,0,1,9/20/2019 12:34,1/2/2019 13:01,0000-00-00 00:00:00,5/17/2018 16:01,system
B662713EA32K,662713,1032,"5H40G91213 15.6"" FHD Lenovo Edge 15 80H1 80K9 Lenovo Ideapad Flex 2 Pro-15 Touch Screen Assembly",Yes,368724,"Lenovo Edge 15 80H1 80K9 15.6"" LCD Touch Screen Digitizer Bezel REPLACEMENT",https://www.blisscomputers.net/lenovo-edge-15-80h1-80k9-15-6-lcd-touch-screen-digitizer-bezel-replacement-662713/,Yes,No,No,131.87,,10,,,,,,,,,,0,2,9/21/2021 15:40,12/16/2019 19:12,0000-00-00 00:00:00,8/2/2019 14:47,rahul
B119119DA34B,119119,1034,N140HCE-EN1 Rev.c1 FULL HD 30 PIN IPS 315MM WIDE Call Dave. use #1956,Yes,54000,"Innolux N140hca-eac REPLACEMENT LAPTOP LCD Screen 14.0"" Full HD LED DIODE N140HCA-EAC REV.C1 LENOVO 5D10M42878",https://www.blisscomputers.net/innolux-n140hca-eac-replacement-laptop-lcd-screen-14-0-full-hd-led-diode-n140hca-eac-rev-c1-lenovo-5d10m42878-119119/,Yes,No,No,0,,0,,,,,,,Lenovo 5D10M42878 N140HCA-EAC,,,0,48,12/10/2020 14:53,10/2/2018 16:10,0000-00-00 00:00:00,9/20/2018 17:12,chanddr
