UID,Status,Group,Title,Price,Qty,Title_Issue
431216,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New Screen HP EliteBook 640 G10 645 G10 N00079-001 N00080-001 N00083-001 N42803-001 N42802-001 Replacement Laptop LCD LED Screen Display Monitor",159.99,,"New Screen for HP EliteBook 640 G10, 645 G10 N00079-001 N00080-001 N00083-001 N42803-001 N42802-001 Replacement Laptop LCD LED Screen Display Monitor"
431217,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 16"" 1920 1200 Screen Lenovo 5D11C95899 5D11C95900 5D11C95901 Replacement Laptop LCD LED Screen Display Monitor",179.99,,"New 16"" 1920×1200 Screen for Lenovo 5D11C95899 5D11C95900 5D11C95901 Replacement Laptop LCD LED Screen Display Monitor"
431218,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New Screen MSI Prestige 13EVO A12M A13M A12M-070US A13M-050US A13M-074US A12M-012AU A13M-096CA Replacement Laptop LCD LED Screen Display Monitor",149.99,,"New Screen for MSI Prestige 13EVO A12M A13M A12M-070US A13M-050US A13M-074US A12M-012AU A13M-096CA Replacement Laptop LCD LED Screen Display Monitor"
431219,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 144hz Screen MSI Cyborg 15 A12UC A12UCX A12UDX A12VE A12VF A13UC A13UCX A13UDX A13VE A13VF A1VEK A1VFK Replacement Laptop LCD LED Screen Display Monitor",129.99,,"New 144Hz Screen for MSI Cyborg 15 A12UC A12UCX A12UDX A12VE A12VF A13UC A13UCX A13UDX A13VE A13VF A1VEK A1VFK Replacement Laptop LCD LED Screen Display Monitor"
431220,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 144hz 240Hz Screen MSI Vector GP68HX 12VH 12VI 13VF 13VG 13VH 12VH-006 12VH-045 13VH-054US 13VH-098US 13VH-256US Replacement Laptop LCD LED Screen Display Monitor",199.99,,"New 144Hz 240Hz Screen for MSI Vector GP68HX 12VH 12VI 13VF 13VG 13VH 12VH-006 12VH-045 13VH-054US 13VH-098US 13VH-256US Replacement Laptop LCD LED Screen Display Monitor"
431221,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New Screen MSI Stealth 16Studio A13VE A13VF A13VG Replacement Laptop LCD LED Screen Display Monitor",199.99,,"New Screen for MSI Stealth 16Studio A13VE A13VF A13VG Replacement Laptop LCD LED Screen Display Monitor"
431222,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 120Hz 144hz Screen MSI Stealth 15 A13VE A13VF Replacement Laptop LCD LED Screen Display Monitor",199.99,,"New 120Hz 144Hz Screen for MSI Stealth 15 A13VE A13VF Replacement Laptop LCD LED Screen Display Monitor"
431223,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 165Hz 240Hz Screen MSI Stealth 14Studio A13UDX A13VE A13VF A13VG Replacement Laptop LCD LED Screen Display Monitor",189.99,,"New 165Hz 240Hz Screen for MSI Stealth 14Studio A13UDX A13VE A13VF A13VG Replacement Laptop LCD LED Screen Display Monitor"
431224,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New Screen MSI Raider GE68HX 13VF 13VG 13VH 13VI Replacement Laptop LCD LED Screen Display Monitor",259.99,,"New Screen for MSI Raider GE68HX 13VF 13VG 13VH 13VI Replacement Laptop LCD LED Screen Display Monitor"
431225,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 240Hz 360Hz Screen MSI Pulse 15 B13VGK B13VFK Replacement Laptop LCD LED Screen Display Monitor",199.99,,"New 240Hz 360Hz Screen for MSI Pulse 15 B13VGK B13VFK Replacement Laptop LCD LED Screen Display Monitor"
431226,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 144hz Screen MSI Katana 15 B12UCXK B12UDXK B12VEK B12VFK B12VGK B13UDXK B13VEK B13VFK B13VGK Replacement Laptop LCD LED Screen Display Monitor",129.99,,"New 144Hz Screen for MSI Katana 15 B12UCXK B12UDXK B12VEK B12VFK B12VGK B13UDXK B13VEK B13VFK B13VGK Replacement Laptop LCD LED Screen Display Monitor"
431227,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New Non Touch Screen Lenovo 5M11D12294 5M11D12295 5M11D12293 5M11D12292 5M11D12263 5M11D12264 X1 Nano Gen 2 Replacement Laptop LCD LED Screen Display Monitor",169.99,,"New Non-Touch Screen for Lenovo 5M11D12294 5M11D12295 5M11D12293 5M11D12292 5M11D12263 5M11D12264 X1 Nano Gen 2 Replacement Laptop LCD LED Screen Display Monitor"
431228,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 14"" WQXGA+ Screen Lenovo 5D11K83637 Replacement Laptop LCD LED Screen Display Monitor",149.99,,"New 14"" WQXGA+ Screen for Lenovo 5D11K83637 Replacement Laptop LCD LED Screen Display Monitor"
431229,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 16"" WQXGA 240Hz Screen Lenovo 5D11J38192 5D11J38182 5D11J38194 Replacement Laptop LCD LED Screen Display Monitor",269.99,,"New 16"" WQXGA 240Hz Screen for Lenovo 5D11J38192 5D11J38182 5D11J38194 Replacement Laptop LCD LED Screen Display Monitor"
431230,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 16"" WUXGA 165Hz Screen Lenovo 5D11H29626 5D11H29628 5D11H29636 Replacement Laptop LCD LED Screen Display Monitor",199.99,,"New 16"" WUXGA 165Hz Screen for Lenovo 5D11H29626 5D11H29628 5D11H29636 Replacement Laptop LCD LED Screen Display Monitor"
431231,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 16"" WQXGA 165Hz Screen Lenovo 5D11H29621 5D11H29622 500nits Replacement Laptop LCD LED Screen Display Monitor",199.99,,"New 16"" WQXGA 165Hz Screen for Lenovo 5D11H29621 5D11H29622 500nits Replacement Laptop LCD LED Screen Display Monitor"
431232,New,"(#2713) ","New Screen Lenovo Yoga Slim 6 14APU8 14IAP8 14IRH8 14IRP8 Replacement Laptop LCD LED Screen Display Monitor",169.99,,"New Screen for Lenovo Yoga Slim 6 14APU8 14IAP8 14IRH8 14IRP8 Replacement Laptop LCD LED Screen Display Monitor"
431233,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 14"" WQXGA+ Screen Lenovo 5D11J16584 5D11J17490 400nits Replacement Laptop LCD LED Screen Display Monitor",169.99,,"New 14"" WQXGA+ Screen for Lenovo 5D11J16584 5D11J17490 400nits Replacement Laptop LCD LED Screen Display Monitor"
431234,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New Screen Lenovo 5D11B36353 5D11B36354 5D11B36357 5D11C99358 5D11D08013 5D11D69629 5D11D96482 5D11D96861 5D11J12408 Replacement Laptop LCD LED Screen Display Monitor",159.99,,"New Screen for Lenovo 5D11B36353 5D11B36354 5D11B36357 5D11C99358 5D11D08013 5D11D69629 5D11D96482 5D11D96861 5D11J12408 Replacement Laptop LCD LED Screen Display Monitor"
431235,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","New 15.6"" WQHD 165Hz Screen Lenovo 5D11D04810 5D11D04807 5D11D04809 Replacement Laptop LCD LED Screen Display Monitor",169.99,,"New 15.6"" WQHD 165Hz Screen for Lenovo 5D11D04810 5D11D04807 5D11D04809 Replacement Laptop LCD LED Screen Display Monitor"
