UID,Status,Group,Title,Price,Qty,Title_Issue
431536,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-54 LCD Cover Assembly Silver Replacement Laptop LCD LED Screen Display Monitor",78.58,,"Genuine Acer A515-54 LCD Cover ASSY Silver Replacement Laptop LCD LED Screen Display Monitor"
431537,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A315-54K LCD Cover Assembly IMR Black Replacement Laptop LCD LED Screen Display Monitor",63.34,,"Genuine Acer A315-54K LCD Cover ASSY IMR Black Replacement Laptop LCD LED Screen Display Monitor"
431538,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-54 LCD Bezel W/Hinge CAP Silver Replacement Laptop LCD LED Screen Display Monitor",45.37,,
431539,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A315-54K LCD Cover Assembly IMR Gray Replacement Laptop LCD LED Screen Display Monitor",60.19,,"Genuine Acer A315-54K LCD Cover ASSY IMR Gray Replacement Laptop LCD LED Screen Display Monitor"
431540,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A315-54K LCD Bezel SINGLE MIC Replacement Laptop LCD LED Screen Display Monitor",49.36,,"Genuine Acer A315-54K LCD Bezel FOR SINGLE MIC Replacement Laptop LCD LED Screen Display Monitor"
431541,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer AS4625 Adapter 65W 19V 3-PIN YELLOW Tip 1.7X5.5X11 YELLOW ADP-65VH BA LV5 LOW PROFILE LED LF Replacement Laptop LCD LED Screen Display Monitor",49.97,,"Genuine Acer AS4625 Adapter 65W 19V 3-PIN YELLOW Tip – 1.7X5.5X11 YELLOW ADP-65VH BA / LV5 / LOW PROFILE LED LF Replacement Laptop LCD LED Screen Display Monitor"
431542,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A115-32 LCD Cover Assembly Silver Replacement Laptop LCD LED Screen Display Monitor",58.7,,"Genuine Acer A115-32 LCD Cover ASSY Silver Replacement Laptop LCD LED Screen Display Monitor"
431543,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer G3-571 LCD Hinge R&L Replacement Laptop LCD LED Screen Display Monitor",46.1,,
431544,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A315-35 LCD Cover Assembly Silver Replacement Laptop LCD LED Screen Display Monitor",75.64,,"Genuine Acer A315-35 LCD Cover ASSY Silver Replacement Laptop LCD LED Screen Display Monitor"
431545,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-51 LCD Hinge Braket R&L Replacement Laptop LCD LED Screen Display Monitor",38.99,,
431546,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer SP513-52N LED & CARD READER Board Replacement Laptop LCD LED Screen Display Monitor",47.34,,
431547,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer SF314-55 LCD LED 14.0"" 2.4MM FHD Non GLARE CMI N140HCE-EN2 LF 300NIT 25MS 700:1 EDP IPS NARROW BORDER 2.4MM MAX Replacement Laptop LCD LED Screen Display Monitor",82.99,,"Genuine Acer SF314-55 LCD LED 14.0 2.4MM FHD NONE GLARE CMI N140HCE-EN2 LF 300NIT 25MS 700:1 (EDP, IPS, NARROW BORDER, 2.4MM MAX) Replacement Laptop LCD LED Screen Display Monitor"
431548,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A315-42G LCD Hinge BASE R&L Replacement Laptop LCD LED Screen Display Monitor",44.09,,
431549,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer C738T LCD LED Touch Panel Bezel 11.6"" GIS 11.6"" WXGA NON GLARE B116XAN04.1/GG3 Black Replacement Laptop LCD LED Screen Display Monitor",55.98,,"Genuine Acer C738T LCD LED Touch Panel W/ Bezel 11.6 (GIS 11.6 WXGA NON GLARE B116XAN04.1/GG3) Black Replacement Laptop LCD LED Screen Display Monitor"
431550,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer E5-575G LCD Cover Assembly W/O ANT Black Replacement Laptop LCD LED Screen Display Monitor",79.99,,"Genuine Acer E5-575G LCD Cover ASSY W/O ANT Black Replacement Laptop LCD LED Screen Display Monitor"
431551,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer CP713-1WN Cable LCD Assembly Replacement Laptop LCD LED Screen Display Monitor",62.39,,"Genuine Acer CP713-1WN Cable LCD ASSY Replacement Laptop LCD LED Screen Display Monitor"
431552,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer SF314-55G Cable LCD EDP 2MIC SKU Replacement Laptop LCD LED Screen Display Monitor",,,
431553,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer SP515-51N LED & CARD READER Board Replacement Laptop LCD LED Screen Display Monitor",48.63,,"Genuine Acer SP515-51N LED & CARD READER Board FOR DIS Replacement Laptop LCD LED Screen Display Monitor"
431554,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-54G LCD Bezel W/Hinge CAP GREY Replacement Laptop LCD LED Screen Display Monitor",45.37,,
431555,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-54G LCD Cover Assembly GREY Replacement Laptop LCD LED Screen Display Monitor",76.6,,"Genuine Acer A515-54G LCD Cover ASSY GREY Replacement Laptop LCD LED Screen Display Monitor"
431556,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer TMP2410-M LCD Cover Assembly Non Touch LCD EDP Cable Hinge ANTENNA Replacement Laptop LCD LED Screen Display Monitor",,,"Genuine Acer TMP2410-M LCD Cover ASSY NON-Touch INCL LCD EDP Cable, Hinge, ANTENNA Replacement Laptop LCD LED Screen Display Monitor"
431557,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer E5-575 LCD LED 15.6W WXGA GLARE CMI N156BGA-EB2 LF 220NIT 10MS 600:1 EDP 3.2MM MAX Replacement Laptop LCD LED Screen Display Monitor",158.78,,"Genuine Acer E5-575 LCD LED 15.6W WXGA GLARE CMI N156BGA-EB2 LF 220NIT 10MS 600:1 (EDP, 3.2MM MAX) Replacement Laptop LCD LED Screen Display Monitor"
431558,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A517-51 LCD LED 17.3"" WXGA+ GLARE CMI N173FGA-E44 REV.C1 LF 220NIT 10MS 600:1 EDP FLAT Replacement Laptop LCD LED Screen Display Monitor",257.49,,"Genuine Acer A517-51 LCD LED 17.3 WXGA+ GLARE CMI N173FGA-E44 REV. C1 LF 220NIT 10MS 600:1 (EDP, FLAT) Replacement Laptop LCD LED Screen Display Monitor"
431559,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer AN515-54 LCD Cover IMR Black 3.2MM LCD Panel Replacement Laptop LCD LED Screen Display Monitor",61.1,,"Genuine Acer AN515-54 LCD Cover IMR Black FOR 3.2MM LCD Panel Replacement Laptop LCD LED Screen Display Monitor"
431560,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer CB5-312T LCD Hinge L Replacement Laptop LCD LED Screen Display Monitor",59.45,,
431561,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer A515-52 LCD LED 15.6"" WXGA Non GLARE CMI N156BGA-EA3 LF 220NIT 10MS 500:1 EDP 3.2MM MAX NARROW BORDER Replacement Laptop LCD LED Screen Display Monitor",207.64,,"Genuine Acer A515-52 LCD LED 15.6 WXGA NONE GLARE CMI N156BGA-EA3 LF 220NIT 10MS 500:1 (EDP, 3.2MM MAX,NARROW BORDER) Replacement Laptop LCD LED Screen Display Monitor"
431562,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer AS5738Z Adapter 65W 19V 3-PIN YELLOW Tip LITE ON 1.7X5.5X11 YELLOW PA0650-22AC LV5 LED LF Replacement Laptop LCD LED Screen Display Monitor",60.69,,"Genuine Acer AS5738Z Adapter 65W 19V 3-PIN YELLOW Tip – LITE ON 1.7X5.5X11 YELLOW PA0650-22AC LV5 LED LF Replacement Laptop LCD LED Screen Display Monitor"
431563,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer E1-522 LCD LED 15.6W WXGA GLARE CMI N156BGE-E41 LF 200NIT 10MS 650:1 HD LCD 3.8MM Replacement Laptop LCD LED Screen Display Monitor",44.18,,"Genuine Acer E1-522 LCD LED 15.6W WXGA GLARE CMI N156BGE-E41 LF 200NIT 10MS 650:1 (HD LCD : 3.8MM) Replacement Laptop LCD LED Screen Display Monitor"
431564,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer AN517-52 Cable LCD EDP 60HZ Replacement Laptop LCD LED Screen Display Monitor",48.03,,
431565,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer CP713-3W LCD LED Touch Panel Bezel 13.5 LCD GIS 13.5"" QHD GLARE NE135FBM-N41 V8.1/AN1350005001 KL.1350G.004 Replacement Laptop LCD LED Screen Display Monitor",853.84,,"Genuine Acer CP713-3W LCD LED TouchPanel W/Bezel 13.5, LCD GIS 13.5 QHD GLARE NE135FBM-N41 V8.1/AN1350005001 KL.1350G.004 Replacement Laptop LCD LED Screen Display Monitor"
431566,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer LCD LED 16.0"" WQXGA IPS Non GLARE INNOLUX N160GME-GTB C2 500NIT DCI-P3 100% 240HZ 9MS 1000:1 NARROW BORDER 2.6T/4.6T 3MS BY OD DDS Replacement Laptop LCD LED Screen Display Monitor",689.38,,"Genuine Acer LCD LED 16.0 WQXGA IPS NONE GLARE INNOLUX N160GME-GTB C2 500NIT DCI-P3 100% 240HZ 9MS 1000:1 (NARROW BORDER / 2.6T/4.6T / 3MS BY OD / DDS) Replacement Laptop LCD LED Screen Display Monitor"
431567,New,"(#1073) Non-Cataloged Items waiting for groups contact Dave","Genuine Acer LCD LED 16.0"" WQXGA IPS Non GLARE BOE NE160QDM-NZ2 V8.1 500NIT DCI-P3 100% 240HZ 9MS 1200:1 (NARROW BORDER 2.6T/4.6T 3 Replacement Laptop LCD LED Screen Display Monitor",689.38,,"Genuine Acer LCD LED 16.0 WQXGA IPS NONE GLARE BOE NE160QDM-NZ2 V8.1 500NIT DCI-P3 100% 240HZ 9MS 1200:1 (NARROW BORDER / 2.6T/4.6T / 3 Replacement Laptop LCD LED Screen Display Monitor"
