Title_1,Title_3,Title_2,Part_2,Model_1,Model_2,Desc_1,Price
 HP SPS-DSPLY HU 10.1 AG WLED TS HD WBC PRW,Replacement Screen Display, 742315-001,,"HP PAVILION 10 TOUCHSMART 10Z-E000 CTO NOTEBOOK PC (ENERGY STAR) - E8Y65AAR, HP PAVILION 10 TOUCHSMART 10Z-E000 CTO NOTEBOOK PC (ENERGY STAR) - E8Y65AV, HP PAVILION 10 TOUCHSMART 10Z-E000 CTO NOTEBOOK PC (ENERGY STAR) - F1V45AAR, HP PAVILION 10 TOUCHSMART 10Z-E000 CTO NOTEBOOK PC (ENERGY STAR) - F1V45AV",,,302.47
 HP SPS-LCD PNL 10.1 WXGA UWVA W/BEZEL STR,Replacement Screen Display, 824610-001,,"HP PAVILION X2 - 10-N002TU - N4F15PA, HP PAVILION X2 - 10-N004TU - N4F17PA, HP PAVILION X2 - 10-N006TU - N4F19PA, HP PAVILION X2 - 10-N008TU - N4F23PA, HP PAVILION X2 - 10-N009TU - N4F37PA, HP PAVILION X2 - 10-N011CA - M7F67UA, HP PAVILION X2 - 10-N011CA - M7F67UAR, HP PAVILION X2 - 10-N011TU - N4F39PA, HP PAVILION X2 - 10-N014DX - M7F65UA, HP PAVILION X2 - 10-N014DX - M7F65UAR",,,499
 HP SPS-LCD PNL 10.1 WXGA UWVA W/BEZEL STR,Replacement Screen Display, 832397-001,,"HP PAVILION X2 - 10-N102TU - P6M27PA, HP PAVILION X2 - 10-N104TU - P7F53PA, HP PAVILION X2 - 10-N106TU - P7F55PA, HP PAVILION X2 - 10-N107NL (ENERGY STAR) - T9N88EA, HP PAVILION X2 - 10-N107NL (ENERGY STAR) - T9N88EAR, HP PAVILION X2 - 10-N108TU - P7F57PA, HP PAVILION X2 - 10-N110TU - P7F59PA, HP PAVILION X2 - 10-N111CA (ENERGY STAR) - N5X75UA, HP PAVILION X2 - 10-N111CA (ENERGY STAR) - N5X75UAR, HP PAVILION X2 - 10-N112TU - P7G00PA",,,499
 HP SPS-LCD PNL 10.1 WXGA UWVA W/BEZEL BZW,Replacement Screen Display, 832396-001,,"HP PAVILION X2 - 10-N101TU - P6M26PA, HP PAVILION X2 - 10-N102LA (ENERGY STAR) - K8P07LA, HP PAVILION X2 - 10-N102LA (ENERGY STAR) - K8P07LAR, HP PAVILION X2 - 10-N103TU - P6M73PA, HP PAVILION X2 - 10-N105TU - P7F54PA, HP PAVILION X2 - 10-N107TU - P7F56PA, HP PAVILION X2 - 10-N109TU - P7F58PA, HP PAVILION X2 - 10-N110CA (ENERGY STAR) - N5X74UA, HP PAVILION X2 - 10-N110CA (ENERGY STAR) - N5X74UAR, HP PAVILION X2 - 10-N111TU - P7F99PA",,,499
 HP SPS-DSPLY HU 11.6 SVA AG TS LED,Replacement Screen Display, 730892-001,,"HP PAVILION 11-E001LA NOTEBOOK PC - E2B69LA, HP PAVILION 11-E001LA NOTEBOOK PC - E2B69LAR, HP PAVILION 11-E003LA NOTEBOOK PC (ENERGY STAR) - E7H69LA, HP PAVILION 11-E003LA NOTEBOOK PC (ENERGY STAR) - E7H69LAR, HP PAVILION TOUCHSMART 11-E001AU NOTEBOOK PC - E4X81PA, HP PAVILION TOUCHSMART 11-E002AU NOTEBOOK PC - E4X85PA, HP PAVILION TOUCHSMART 11-E003AU NOTEBOOK PC - E4X86PA, HP PAVILION TOUCHSMART 11-E004AU NOTEBOOK PC - E4X87PA, HP PAVILION TOUCHSMART 11-E005AU NOTEBOOK PC - E4X88PA, HP PAVILION TOUCHSMART 11-E006AU NOTEBOOK PC - E4X91PA",,,948.94
 HP SPS-DSPLY HU 11.6 SVA AG TS LED 1.1,Replacement Screen Display, 753948-001,,"HP PAVILION 11-E001LA NOTEBOOK PC - E2B69LA, HP PAVILION 11-E109AU NOTEBOOK PC (ENERGY STAR) - G0A66PA, HP PAVILION 11-E110AU NOTEBOOK PC - G0A67PA, HP PAVILION 11-E112AU NOTEBOOK PC - G0A88PA, HP PAVILION 11-E113AU NOTEBOOK PC (ENERGY STAR) - G2G92PA, HP PAVILION 11-E114AU NOTEBOOK PC (ENERGY STAR) - G2H05PA, HP PAVILION 11-E117AU NOTEBOOK PC - G2G00PA, HP PAVILION 11-E119AU NOTEBOOK PC (ENERGY STAR) - G4W73PA, HP PAVILION TOUCHSMART 11-E016DX NOTEBOOK PC (ENERGY STAR) - E2S23UA, HP PAVILION TOUCHSMART 11-E108AU NOTEBOOK PC (ENERGY STAR) - F9Z99PA, HP PAVILION TOUCHSMART 11-E110NR NOTEBOOK PC (ENERGY STAR) - E2S25UA, HP PAVILION TOUCHSMART 11-E110NR NOTEBOOK PC (ENERGY STAR) - E2S25UAR, HP PAVILION TOUCHSMART 11-E111AU NOTEBOOK PC - G0A75PA, HP PAVILION TOUCHSMART 11-E115AU NOTEBOOK PC (ENERGY STAR) - G2H06PA, HP PAVILION TOUCHSMART 11-E115NR NOTEBOOK PC (ENERGY STAR) - E8C46UA, HP PAVILION TOUCHSMART 11-E115NR NOTEBOOK PC (ENERGY STAR) - E8C46UAR, HP PAVILION TOUCHSMART 11-E116AU NOTEBOOK PC (ENERGY STAR) - G2H07PA, HP PAVILION TOUCHSMART 11-E118AU NOTEBOOK PC (ENERGY STAR) - G4W27PA, HP PAVILION TOUCHSMART 11-E140CA NOTEBOOK PC - E8C45UA, HP PAVILION TOUCHSMART 11-E140CA NOTEBOOK PC - E8C45UAR",,,958.33
 HP SPS-DSPLY HU 11.6 SVA AG TS LED 1.1,Replacement Screen Display, 753948-001,,"HP PAVILION 11-E001LA NOTEBOOK PC - E2B69LA, HP PAVILION 11-E109AU NOTEBOOK PC (ENERGY STAR) - G0A66PA, HP PAVILION 11-E110AU NOTEBOOK PC - G0A67PA, HP PAVILION 11-E112AU NOTEBOOK PC - G0A88PA, HP PAVILION 11-E113AU NOTEBOOK PC (ENERGY STAR) - G2G92PA, HP PAVILION 11-E114AU NOTEBOOK PC (ENERGY STAR) - G2H05PA, HP PAVILION 11-E117AU NOTEBOOK PC - G2G00PA, HP PAVILION 11-E119AU NOTEBOOK PC (ENERGY STAR) - G4W73PA, HP PAVILION TOUCHSMART 11-E016DX NOTEBOOK PC (ENERGY STAR) - E2S23UA, HP PAVILION TOUCHSMART 11-E108AU NOTEBOOK PC (ENERGY STAR) - F9Z99PA, HP PAVILION TOUCHSMART 11-E110NR NOTEBOOK PC (ENERGY STAR) - E2S25UA, HP PAVILION TOUCHSMART 11-E110NR NOTEBOOK PC (ENERGY STAR) - E2S25UAR, HP PAVILION TOUCHSMART 11-E111AU NOTEBOOK PC - G0A75PA, HP PAVILION TOUCHSMART 11-E115AU NOTEBOOK PC (ENERGY STAR) - G2H06PA, HP PAVILION TOUCHSMART 11-E115NR NOTEBOOK PC (ENERGY STAR) - E8C46UA, HP PAVILION TOUCHSMART 11-E115NR NOTEBOOK PC (ENERGY STAR) - E8C46UAR, HP PAVILION TOUCHSMART 11-E116AU NOTEBOOK PC (ENERGY STAR) - G2H07PA, HP PAVILION TOUCHSMART 11-E118AU NOTEBOOK PC (ENERGY STAR) - G4W27PA, HP PAVILION TOUCHSMART 11-E140CA NOTEBOOK PC - E8C45UA, HP PAVILION TOUCHSMART 11-E140CA NOTEBOOK PC - E8C45UAR",,,958.33
 HP SPS-DSPLY HU 11.6 SVA AG TS LED 1.1,Replacement Screen Display, 753948-001,,"HP PAVILION 11-E001LA NOTEBOOK PC - E2B69LA, HP PAVILION 11-E109AU NOTEBOOK PC (ENERGY STAR) - G0A66PA, HP PAVILION 11-E110AU NOTEBOOK PC - G0A67PA, HP PAVILION 11-E112AU NOTEBOOK PC - G0A88PA, HP PAVILION 11-E113AU NOTEBOOK PC (ENERGY STAR) - G2G92PA, HP PAVILION 11-E114AU NOTEBOOK PC (ENERGY STAR) - G2H05PA, HP PAVILION 11-E117AU NOTEBOOK PC - G2G00PA, HP PAVILION 11-E119AU NOTEBOOK PC (ENERGY STAR) - G4W73PA, HP PAVILION TOUCHSMART 11-E016DX NOTEBOOK PC (ENERGY STAR) - E2S23UA, HP PAVILION TOUCHSMART 11-E108AU NOTEBOOK PC (ENERGY STAR) - F9Z99PA, HP PAVILION TOUCHSMART 11-E110NR NOTEBOOK PC (ENERGY STAR) - E2S25UA, HP PAVILION TOUCHSMART 11-E110NR NOTEBOOK PC (ENERGY STAR) - E2S25UAR, HP PAVILION TOUCHSMART 11-E111AU NOTEBOOK PC - G0A75PA, HP PAVILION TOUCHSMART 11-E115AU NOTEBOOK PC (ENERGY STAR) - G2H06PA, HP PAVILION TOUCHSMART 11-E115NR NOTEBOOK PC (ENERGY STAR) - E8C46UA, HP PAVILION TOUCHSMART 11-E115NR NOTEBOOK PC (ENERGY STAR) - E8C46UAR, HP PAVILION TOUCHSMART 11-E116AU NOTEBOOK PC (ENERGY STAR) - G2H07PA, HP PAVILION TOUCHSMART 11-E118AU NOTEBOOK PC (ENERGY STAR) - G4W27PA, HP PAVILION TOUCHSMART 11-E140CA NOTEBOOK PC - E8C45UA, HP PAVILION TOUCHSMART 11-E140CA NOTEBOOK PC - E8C45UAR",,,958.33
 HP SPS-DSPLY HU 11.6 SVA AG TS LED,Replacement Screen Display, 730892-001,,"HP PAVILION 11-E001LA NOTEBOOK PC - E2B69LA, HP PAVILION 11-E001LA NOTEBOOK PC - E2B69LAR, HP PAVILION 11-E003LA NOTEBOOK PC (ENERGY STAR) - E7H69LA, HP PAVILION 11-E003LA NOTEBOOK PC (ENERGY STAR) - E7H69LAR, HP PAVILION TOUCHSMART 11-E001AU NOTEBOOK PC - E4X81PA, HP PAVILION TOUCHSMART 11-E002AU NOTEBOOK PC - E4X85PA, HP PAVILION TOUCHSMART 11-E003AU NOTEBOOK PC - E4X86PA, HP PAVILION TOUCHSMART 11-E004AU NOTEBOOK PC - E4X87PA, HP PAVILION TOUCHSMART 11-E005AU NOTEBOOK PC - E4X88PA, HP PAVILION TOUCHSMART 11-E006AU NOTEBOOK PC - E4X91PA",,,948.94
 HP SPS-DSPLY HU 11.6 SVA AG TS LED 1.1,Replacement Screen Display, 753948-001,,"HP PAVILION 11-E001LA NOTEBOOK PC - E2B69LA, HP PAVILION 11-E109AU NOTEBOOK PC (ENERGY STAR) - G0A66PA, HP PAVILION 11-E110AU NOTEBOOK PC - G0A67PA, HP PAVILION 11-E112AU NOTEBOOK PC - G0A88PA, HP PAVILION 11-E113AU NOTEBOOK PC (ENERGY STAR) - G2G92PA, HP PAVILION 11-E114AU NOTEBOOK PC (ENERGY STAR) - G2H05PA, HP PAVILION 11-E117AU NOTEBOOK PC - G2G00PA, HP PAVILION 11-E119AU NOTEBOOK PC (ENERGY STAR) - G4W73PA, HP PAVILION TOUCHSMART 11-E016DX NOTEBOOK PC (ENERGY STAR) - E2S23UA, HP PAVILION TOUCHSMART 11-E108AU NOTEBOOK PC (ENERGY STAR) - F9Z99PA, HP PAVILION TOUCHSMART 11-E110NR NOTEBOOK PC (ENERGY STAR) - E2S25UA, HP PAVILION TOUCHSMART 11-E110NR NOTEBOOK PC (ENERGY STAR) - E2S25UAR, HP PAVILION TOUCHSMART 11-E111AU NOTEBOOK PC - G0A75PA, HP PAVILION TOUCHSMART 11-E115AU NOTEBOOK PC (ENERGY STAR) - G2H06PA, HP PAVILION TOUCHSMART 11-E115NR NOTEBOOK PC (ENERGY STAR) - E8C46UA, HP PAVILION TOUCHSMART 11-E115NR NOTEBOOK PC (ENERGY STAR) - E8C46UAR, HP PAVILION TOUCHSMART 11-E116AU NOTEBOOK PC (ENERGY STAR) - G2H07PA, HP PAVILION TOUCHSMART 11-E118AU NOTEBOOK PC (ENERGY STAR) - G4W27PA, HP PAVILION TOUCHSMART 11-E140CA NOTEBOOK PC - E8C45UA, HP PAVILION TOUCHSMART 11-E140CA NOTEBOOK PC - E8C45UAR",,,958.33
