UID,Status,Group,Title,Price,Qty,Title_Issue
433201,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display HU 10.1"" AG WLED TS HD WBC PRW 742315-001 Replacement Screen Display",302.47,,"HP SPS-DSPLY HU 10.1 AG WLED TS HD WBC PRW 742315-001 Replacement Screen Display"
433202,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS LCD Panel 10.1"" WXGA UWVA Bezel STR 824610-001 Replacement Screen Display",499,,"HP SPS-LCD PNL 10.1 WXGA UWVA W/BEZEL STR 824610-001 Replacement Screen Display"
433203,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS LCD Panel 10.1"" WXGA UWVA Bezel STR 832397-001 Replacement Screen Display",499,,"HP SPS-LCD PNL 10.1 WXGA UWVA W/BEZEL STR 832397-001 Replacement Screen Display"
433204,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS LCD Panel 10.1"" WXGA UWVA Bezel BZW 832396-001 Replacement Screen Display",499,,"HP SPS-LCD PNL 10.1 WXGA UWVA W/BEZEL BZW 832396-001 Replacement Screen Display"
433205,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display HU 11.6"" SVA AG TS LED 730892-001 Replacement Screen Display",948.94,,"HP SPS-DSPLY HU 11.6 SVA AG TS LED 730892-001 Replacement Screen Display"
433206,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display HU 11.6"" SVA AG TS LED 1.1 753948-001 Replacement Screen Display",958.33,,"HP SPS-DSPLY HU 11.6 SVA AG TS LED 1.1 753948-001 Replacement Screen Display"
,"Dup title",,"HP SPS-DSPLY HU 11.6 SVA AG TS LED 1.1 753948-001 Replacement Screen Display",958.33,,"Line 6"
,"Dup title",,"HP SPS-DSPLY HU 11.6 SVA AG TS LED 1.1 753948-001 Replacement Screen Display",958.33,,"Line 6"
,"Dup title",,"HP SPS-DSPLY HU 11.6 SVA AG TS LED 730892-001 Replacement Screen Display",948.94,,"Line 5"
,"Dup title",,"HP SPS-DSPLY HU 11.6 SVA AG TS LED 1.1 753948-001 Replacement Screen Display",958.33,,"Line 6"
433207,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display HU 11.6"" SVA AG TS LED WWAN 756108-001 Replacement Screen Display",499,,"HP SPS-DSPLY HU 11.6 SVA AG TS LED WWAN 756108-001 Replacement Screen Display"
433208,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display PANEL MODULE AG TS LED NON-WP1 802266-001 Replacement Screen Display",499,,"HP SPS-DSPLY PANEL MODULE AG TS LED NON-WP1 802266-001 Replacement Screen Display"
433209,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP LCD Display Raw Panel 13.3"" FHD UWVA 300 Uslim L37353-001 Replacement Screen",462.62,,"HP LCD Display Raw Panel 13.3"" FHD UWVA 300 Uslim L37353-001 Replacement Screen Display"
433210,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP LCD Display Raw Panel 13.3"" HD SVA 220 Uslim L37354-001 Replacement Screen",499,,"HP LCD Display Raw Panel 13.3"" HD SVA 220 Uslim L37354-001 Replacement Screen Display"
,"Dup title",,"HP LCD Display Raw Panel 13.3"" FHD UWVA 300 Uslim L37353-001 Replacement Screen Display",462.62,,"Line 13"
433211,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP LCD Display Raw Panel 13.3"" WQXGA 400 NWBZ flat M52803-001 Replacement Screen",499,,"HP LCD Display Raw Panel 13.3"" WQXGA 400 NWBZ flat M52803-001 Replacement Screen Display"
,"Dup title",,"HP LCD Display Raw Panel 13.3"" WQXGA 400 NWBZ flat M52803-001 Replacement Screen Display",499,,"Line 16"
433212,Existing,"(#1073) Non-Cataloged Items waiting for groups contact Dave","HP SPS Display HINGE COVER Natural Silver TS 768038-001 Replacement Screen Display",499,,"HP SPS-DSPLY HINGE COVER NSV TS 768038-001 Replacement Screen Display"
,"Dup title",,"HP SPS-DSPLY HINGE COVER NSV TS 768038-001 Replacement Screen Display",499,,"Line 18"
